ip;rgw
10.177.104.162;RGW-OVY-Kuneticka-hora
10.177.104.163;RGW-OVY-Nemocnice-Pce
10.177.104.164;RGW-OVY-Srni
10.177.104.170;RGW-OVY-Chocen
10.177.104.179;RGW-OVY-Lipnicka
10.177.104.180;RGW-OVY-Chotebor
10.177.104.189;RGW-ORS-PH-Katerinska
10.177.104.203;RGW-OSE-Liberec
10.177.104.218;RGW-OVY-Tremosnice
10.177.105.106;RGW-OVY-Rychnov
10.177.105.110;RGW-OVY-Lipnice
10.177.105.126;RGW-OMO-Cervenka
10.177.105.131;RGW-OMO-Krnov
10.177.105.132;RGW-OMO-Mesto-Albrechtice
10.177.105.134;RGW-OMO-Novy-Jicin
10.177.105.135;RGW-OMO-Petrkovicka-hora
10.177.105.142;RGW-OMO-DE-Ostrava
10.177.105.143;RGW-OMO-Karvina-Raj
10.177.105.144;RGW-OMO-Frydek-Mistek
10.177.105.145;RGW-OMO-Olomouc-Hodolany
10.177.105.146;RGW-OMO-Prerov
10.177.105.147;RGW-OMO-Mohelnice
10.177.105.148;RGW-OMO-Zabreh-na-Morave
10.177.105.170;RGW-OMO-Vsetin
10.177.105.182;RGW-OMO-Velke-Hostice
10.177.105.186;RGW-OMO-Ceska-Ves
10.177.105.187;RGW-OMO-Serak
10.177.105.194;RGW-OMO-Bruntal
10.177.105.195;RGW-OMO-Vysoka-hole
10.177.105.210;RGW-OMO-Vitkov
10.177.105.218;RGW-OMO-Ropice
10.177.105.226;RGW-OMO-Mohelnice
10.177.105.238;RGW-OMO-Hranice
10.177.105.242;RGW-OMO-Horni-Zivotice
10.177.105.246;RGW-OMO-Frydlant
10.177.105.27;RGW-OVY-Porici
10.177.105.29;RGW-OVY-Dobruska
10.177.105.35;RGW-OVY-Dvoracky
10.177.105.37;RGW-OVY-Semily
10.177.105.38;RGW-OVY-Vrchlabi
10.177.105.39;RGW-OVY-Kozakov
10.177.105.55;RGW-OVY-Hradec-Kralove
10.177.105.56;RGW-OVY-Stare-Mesto
10.177.105.57;RGW-OVY-HK-Velorex
10.177.105.68;RGW-OVY-Suchy-Vrch
10.177.105.70;RGW-OVY-Ceska-Trebova
10.177.105.71;RGW-OVY-Moravska-Trebova
10.177.105.72;RGW-OVY-Moravska-Trebova-2
10.177.105.83;RGW-OVY-Dobrosov-Pol-Adrspach
10.177.105.84;RGW-OVY-Babi-Dobrosov
10.177.105.85;RGW-OVY-Dobrosov-Pol-Hvezda
10.177.105.92;RGW-OVY-Rohozna
10.177.105.93;RGW-OVY-Svitavy-Lucky-Vrch
10.177.105.94;RGW-OVY-Trpin
10.177.106.10;RGW-OZA-Kralovice
10.177.106.20;RGW-OZA-Pancir
10.177.106.21;RGW-OZA-Plesivec
10.177.106.22;RGW-OZA-Primda
10.177.106.23;RGW-OZA-Plzen-venkov
10.177.106.24;RGW-OZA-Plzen-mesto
10.177.106.25;RGW-OZA-Spicak-Haj
10.177.106.34;RGW-OZA-Korab
10.177.106.42;RGW-OZA-Treboun
10.177.106.58;RGW-OZA-Klatovy
10.177.106.83;RGW-OZA-Zelena-Hora
10.177.107.106;RGW-ORS-Strancice
10.177.107.110;RGW-OVY-Benesov2
10.177.107.114;RGW-ORS-Sazava
10.177.107.118;RGW-ORS-Caslav
10.177.107.130;RGW-ORS-Moninec
10.177.107.131;RGW-ORS-Sedlcany
10.177.107.138;RGW-ORS-Horovice
10.177.107.142;RGW-ORS-Pribram-Brod
10.177.107.18;RGW-ORS-Kolin
10.177.107.194;RGW-ORS-Rimovice
10.177.107.226;RGW-OVY-Vysoka-u-HB
10.177.107.234;RGW-OSE-Frydlant
10.177.107.242;RGW-OSE-Chrastava
10.177.107.250;RGW-OSE-Jablonec
10.177.107.26;RGW-ORS-Beroun
10.177.107.66;RGW-ORS-Kozova-Hora
10.177.107.67;RGW-ORS-Slany
10.177.107.74;RGW-ORS-Kralupy
10.177.107.78;RGW-ORS-Lisany
10.177.107.83;RGW-ORS-Benesov
10.177.107.90;RGW-ORS-Cesky-Brod
10.177.107.94;RGW-ORS-Melnik
10.177.107.98;RGW-ORS-Mlada-Boleslav
10.177.108.138;RGW-OSE-Zatec
10.177.108.154;RGW-OSE-Prachen
10.177.108.155;RGW-OSE-Velenice
10.177.108.156;RGW-OSE-Sneznik
10.177.108.163;RGW-OSE-Hradek-nad-Nisou
10.177.108.164;RGW-OSE-Zelezny-Brod
10.177.108.165;RGW-OSE-Jestedka
10.177.108.170;RGW-OSE-Bezdecin
10.177.108.178;RGW-OSE-Chotejovice
10.177.108.186;RGW-OSE-Kostov
10.177.108.187;RGW-OSE-Usti-Hotelak
10.177.108.194;RGW-ORS-Rimovice
10.177.108.218;RGW-OSE-Most
10.177.108.34;RGW-OSE-Tanvald
10.177.108.42;RGW-OSE-Cesky-Dub
10.177.108.50;RGW-OSE-Jedlova
10.177.108.58;RGW-OSE-Roudnice
10.177.108.66;RGW-OSE-Libochovice
10.177.108.74;RGW-OSE-Chomutov
10.177.108.82;RGW-OSE-Medenec
10.177.108.90;RGW-OSE-Litvinov
10.177.108.98;RGW-OSE-Podborany
10.177.109.10;RGW-OZA-Skrivanci-Vrch
10.177.109.18;RGW-OZA-Radec
10.177.109.26;RGW-OZA-Doubrava
10.177.109.34;RGW-OZA-Svatobor
10.177.109.66;RGW-OZA-Tachov
10.177.109.82;RGW-OSE-Cerna-Studnice
10.177.110.101;RGW-OZA-Plzen-venkov
10.177.110.102;RGW-OZA-Plzen-mesto
10.177.110.66;RGW-OVY-Hlinsko
10.177.110.74;RGW-OVY-Vejir
null;Žádná
